county,case_count,death_count,date
Bernalillo County,6,0,03/14/2020
Catron County,0,0,03/14/2020
Chaves County,0,0,03/14/2020
Cibola County,0,0,03/14/2020
Colfax County,0,0,03/14/2020
Curry County,0,0,03/14/2020
De Baca County,0,0,03/14/2020
Doña Ana County,0,0,03/14/2020
Eddy County,0,0,03/14/2020
Grant County,0,0,03/14/2020
Guadalupe County,0,0,03/14/2020
Harding County,0,0,03/14/2020
Hidalgo County,0,0,03/14/2020
Lea County,0,0,03/14/2020
Lincoln County,0,0,03/14/2020
Los Alamos County,0,0,03/14/2020
Luna County,0,0,03/14/2020
McKinley County,0,0,03/14/2020
Mora County,0,0,03/14/2020
Otero County,0,0,03/14/2020
Quay County,0,0,03/14/2020
Rio Arriba County,0,0,03/14/2020
Roosevelt County,0,0,03/14/2020
San Juan County,0,0,03/14/2020
San Miguel County,0,0,03/14/2020
Sandoval County,2,0,03/14/2020
Santa Fe County,3,0,03/14/2020
Sierra County,0,0,03/14/2020
Socorro County,2,0,03/14/2020
Taos County,0,0,03/14/2020
Torrance County,0,0,03/14/2020
Union County,0,0,03/14/2020
Valencia County,0,0,03/14/2020
